# EO listing for dbat script file
# /home/niclas/dbat/data/script/camcaldemo/camcaldemo.xml.
# Generated by DBAT version 0.9.2.0 (2020-06-27).
# Execution UUID: 8a779a4d-73ae-4f85-a284-bb0abe3134a0.
# Format: EO number, EO id, x, y, z, omega, phi, kappa, sx, sy, sz, so, sk, label. Unit: degrees.
1, 1, 0.454946608289834964, 1.79384867200131826, 1.46806605634717413, -0.687888051212115381, -0.020650376249092061, -3.13877337352662522, 0.00886771187625178849, 0.0102659013498993673, 0.0118457151330711996, 0.00849773685952356916, 0.00760969396642887427, 0.00274554694495839991, P8250021.JPG
2, 2, 0.470305322669822778, 2.0264005903530995, 1.63914845925283936, -0.693498252722234199, -0.0316548134276005005, -1.57294416206318832, 0.0106808774302621593, 0.0125468677622298831, 0.0133010002028008077, 0.00816499619339209823, 0.00885765055425742111, 0.00289232115069528546, P8250022.JPG
3, 3, -0.644442173885490299, 1.46657753546085656, 1.58018729152901805, -0.475200784175714042, -0.498451675833500141, -2.47556051854477976, 0.0107872746782903695, 0.0102551307306452677, 0.0139106398254694816, 0.0105222875765827451, 0.00753444109646331499, 0.00538017328523148451, P8250023.JPG
4, 4, -0.643143671077956558, 1.49029534294348265, 1.63749203343758598, -0.49841008761946809, -0.528655060313753311, -0.868942184570025145, 0.0113486493984973798, 0.0115613278818780928, 0.0140965141324152256, 0.00880749587224756263, 0.00923352592651526145, 0.00466678574616388731, P8250024.JPG
5, 5, -0.671014039580354105, 0.417411716334701699, 1.40924382496329903, 0.0765399835183125932, -0.604929866746888423, -1.52077628288438427, 0.00907555085645781953, 0.00823858221394814343, 0.0110520680056873811, 0.00942724177342419735, 0.00863426286875976917, 0.00518537833393082227, P8250025.JPG
6, 6, -0.712796580816796643, 0.476082951353558603, 1.46513005599464052, 0.0360233473999771042, -0.593210525901745278, 0.0259332969153714538, 0.0101662902987740677, 0.00889330630718482285, 0.0116149104516052488, 0.0102842037460930506, 0.00823333019571284921, 0.00587275616898671853, P8250026.JPG
7, 7, -0.534820899364720992, -0.349595035099015738, 1.40248904320735268, 0.477210958835697308, -0.493797320277380714, -0.771616858487716772, 0.00884883876552538563, 0.00899700279696455732, 0.0121197872570444915, 0.00853835620222452921, 0.00875327104504678918, 0.00445244623496283791, P8250027.JPG
8, 8, -0.718081003595351208, -0.466107290026456123, 1.71547455596844878, 0.469074167509561935, -0.490952680778048156, 0.782619684247623515, 0.0124649672716122331, 0.011713904207048171, 0.0151290495049437538, 0.0106814230611826759, 0.00757166781883708128, 0.00553273248594928629, P8250028.JPG
9, 9, 0.524897408742122651, -0.543737375621214825, 1.53300333718862669, 0.530295130323634956, 0.0033832178058197048, 0.00148070612562459236, 0.00924429016930995717, 0.00957104077802165693, 0.0119214588187664759, 0.00856286816302928404, 0.00775954639498563446, 0.0024814947048726649, P8250029.JPG
10, 10, 0.554429664384345045, -0.592327612650190849, 1.61741313295128086, 0.540616938647919154, 0.0297226695110906665, 1.56271649144874303, 0.0101116907180330215, 0.0111382318199026702, 0.0123804368376118235, 0.00849798198997979773, 0.008791959674777328, 0.00263946810566095119, P8250030.JPG
11, 11, 1.77005234974420844, -0.425243400198700494, 1.55130239346165166, 0.482060823876252154, 0.536564078103288988, 0.73903812340721442, 0.0109483957844579999, 0.010292969707958257, 0.0138289796323381835, 0.0106488261489196979, 0.00756251920777726867, 0.00584221298332706154, P8250031.JPG
12, 12, 1.86450285546062933, -0.480190677800307664, 1.61451676119326204, 0.430184986686844573, 0.52707652503856417, 2.32477607779349782, 0.0114990576167291678, 0.0115754908180813239, 0.0145906114771556222, 0.0090140806772656297, 0.00964984625618778638, 0.00493017027022592431, P8250032.JPG
13, 13, 1.63095129478553802, 0.497644587320015541, 1.47040238417115998, 0.0090635128944597642, 0.578433272494488393, 1.54825299784255965, 0.00942668477693097209, 0.0086426836991934184, 0.0113830492409616232, 0.00940896114784818029, 0.00864942181320195631, 0.00499313215612198855, P8250033.JPG
14, 14, 1.79596260140422825, 0.525690153488005407, 1.59864712190538327, -0.0297962798605540535, 0.586524690994133291, 3.14472854823756709, 0.0112414738311518957, 0.0101337318656564042, 0.0125017214220952272, 0.0104663007451930978, 0.00835033225794554017, 0.00585204454242757403, P8250034.JPG
15, 15, 1.67169152832983614, 1.55449364772477039, 1.50004643302316065, -0.536813222498314424, 0.49151837263740622, 2.41600900952323761, 0.0101471834547384003, 0.0102252112670467073, 0.0136870967381889259, 0.00869329123756919404, 0.00893253060020052746, 0.00461891296478487545, P8250035.JPG
16, 16, 1.69321366947219998, 1.61915924578393322, 1.59037547515846667, -0.520839606492308427, 0.470827130974491137, -2.3502230215035258, 0.0117135361067448041, 0.0108491644126412386, 0.0144554546076297481, 0.0105144617408127732, 0.00756684453014184067, 0.00543276207977794277, P8250036.JPG
17, 17, 0.424677175708180477, 0.824641107478691571, 1.97121741983532139, -0.148987738316108287, -0.00900274652943322887, 3.13106115398464491, 0.0164199377073205623, 0.0164848056715396277, 0.0141066799149322346, 0.00979433378680534886, 0.00956437474575661147, 0.00198264075391149566, P8250037.JPG
18, 18, 0.483058969432592689, 0.925982418289880926, 1.8850165502368883, -0.0830942819731789323, 0.0115487526985493007, 1.54964957518356394, 0.0153581938703580227, 0.0162529220565000264, 0.0131254779757169985, 0.00959252018558222515, 0.00919438212691711144, 0.00189145160170812684, P8250038.JPG
