# Image measurements for the Roma bundle demos in DBAT.
# Format: Image id, OP id, x, y
 1,  438,4061.3977,1604.3671
 1,30466,2145.6819,1760.7194
 1,34861,3688.4302,2258.3081
 1,32896,3630.7314,1577.9786
 1,  448,2920.8687, 768.4759
 1,32755,3541.8623,1957.3593
 1,29990,2382.2080,1494.9873
 1,  452,3662.4885,1982.5016
 1,  453,4132.9072,2360.9443
 1,  455,4097.3652,1288.5505
 1,  458,2858.8215,1607.4155
 1,  459,3045.2363,1671.1006
 1,33109,3537.3447,1600.5408
 1,  464,3097.8430,1776.5348
 1,32988,3298.1145,1207.5200
 1,  469,3079.9932, 701.5964
 1,31397,3110.7070,1435.7689
 1,  473,1082.3853,2296.5251
 1,30535,1108.6072,1581.9695
 1,33170,3797.8389,1474.9049
 1,32840,4118.0254,1636.9548
 1,  489,1787.6942,1506.4760
 1,29459,1566.3163,2000.9434
 1,31684,2038.7716,1276.9490
 1,33501,2308.9409,1397.1282
 1,  498,2782.6726,1606.4979
 1,  499,4234.2417,1871.3969
 1,  500,3043.2319,1710.1395
 1,  501,3812.8113,1189.4504
 1,  502,2080.4102,1307.3533
 1,  503,3203.5386,2333.2769
 1,  504,3524.0664,1541.4777
 1,  505,3100.3628,1717.8192
 1,  506,3735.5464,2181.7700
 1,  507,3687.6726,1663.0458
 1,  508,4247.1992,2574.2263
 1,  509,4102.3442,2063.6111
 1,31587,2553.9431, 932.9042
 1,  511,3499.8755,1406.1022
 1,  512,3914.6108, 683.5375
 1,  513,2364.3381, 803.5818
 1,  514,1973.9098,1671.3538
 1,  515,2000.2418,1908.7266
 1,  516,3532.6877,1407.8158
 1,  517,3509.1990,1629.2949
 1,  518,3538.0532,2262.2727
 1,29789,3667.5544,1198.7909
 1,30187,2131.3757,1677.1096
 1,  521,2065.0879,1758.7559
 1,  522,1980.1188,1911.3849
 1,  523,3520.6101,1386.6730
 1,  525,3845.1895, 673.4230
 1,  526,2012.8087,1713.3026
 1,  527,2048.4469,1754.5181
 1,  528,4091.1792,2054.0728
 1,  529,4085.8936,1235.5275
