Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Photos (used),Tightness (percent),Tightness (project units),Angle (deg.),RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,Precision Vector Length,Photos (marked)
65903," ",1000132.482835,112473.286048,140.050119,0.051147,0.049267,0.289451,"1,2,3,5",0.004683,0.176244,25.857100,1.253169,1.470113,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.298035,"1,2,3,5"
65904," ",999868.595731,112374.276468,138.319083,0.055467,0.049602,0.364991,"1,2,3,4",0.004023,0.151424,15.232453,0.856978,1.228347,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.372499,"1,2,3,4"
65919," ",999819.750615,112322.161165,139.938454,0.060665,0.052124,0.366771,"1,2,3,4",0.003997,0.150443,15.177304,1.101213,1.283731,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.375391,"1,2,3,4"
65927," ",1000183.565516,112463.178873,159.922398,0.054037,0.049934,0.284295,"1,2,3,5",0.005512,0.207440,26.098413,1.213359,1.886683,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.293661,"1,2,3,5"
65930," ",1000136.338944,112576.424056,138.085755,0.051775,0.053771,0.300460,"1,2,3,5",0.002540,0.095592,25.705841,0.657754,0.859036,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.309593,"1,2,3,5"
65980," ",1000032.814614,112307.745866,142.517731,0.051458,0.052258,0.361057,"1,2,3,4",0.004497,0.169245,15.155268,0.976747,1.293569,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.368431,"1,2,3,4"
65993," ",1000044.375283,112702.982065,138.506170,0.052068,0.065607,0.320973,"1,2,3,5",0.007859,0.295786,25.453256,1.662583,1.856830,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.331721,"1,2,3,5"
66007," ",999864.649011,112498.384058,139.793587,0.055895,0.053602,0.368103,"1,2,3,4",0.003045,0.114624,15.289714,0.730470,0.973830,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.376161,"1,2,3,4"
66017," ",999662.877082,112473.253654,140.093745,0.083143,0.053705,0.376471,"1,2,3,4",0.002661,0.100157,15.124625,0.516048,0.729322,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.389265,"1,2,3,4"
66044," ",1000159.491311,112664.888001,138.572020,0.053379,0.061277,0.314209,"1,2,3,5",0.005528,0.208053,25.527536,1.289089,1.500812,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.324548,"1,2,3,5"
