# Id, Name, X, Y, Z, sigmaX, sigmaY, sigmaZ
1, 101, 89.073, 180.033, 148.24, 0.005, 0.005, 0.005
24, 103, 104.951, 176.549, 148.25, 0.005, 0.005, 0.005
44, 105, 89.114, 180.139, 154.004, 0.005, 0.005, 0.005
74, 104, 104.983, 176.639, 154.018, 0.005, 0.005, 0.005
191, 106, 96.94, 177.946, 159.787, 0.005, 0.005, 0.005
232, 107, 87.366, 180.638, 159.528, 0.005, 0.005, 0.005
251, 108, 91.732, 179.553, 162.199, 0.005, 0.005, 0.005
270, 109, 102.354, 177.198, 163.191, 0.005, 0.005, 0.005
293, 110, 107.58, 176.062, 161.685, 0.005, 0.005, 0.005
