Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
317," ","1,2,3,4",999604.595195,112344.387391,139.428260,0.012085,0.012002,0.025330,0.030523,0.010317,0.162894,14.815059,216,0.856447,1.151933,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3,4",255,255,255
333," ","1,2,3",1000134.456463,112591.217219,138.003192,0.012292,0.012100,0.025610,0.030877,0.003389,0.053511,14.838503,401,0.683437,0.948010,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3",255,255,255
347," ","2,3",1000460.327897,112765.830884,139.458977,0.012457,0.012405,0.025506,0.030978,0.001031,0.016279,6.475291,405,0.398645,0.519530,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
351," ","2,3,4,5",1000551.332326,112275.296598,139.874179,0.012150,0.012071,0.025432,0.030661,0.006068,0.095818,15.233640,406,0.898594,1.587896,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
375," ","1,3,4",999619.073338,112370.859711,138.949358,0.012200,0.012140,0.025433,0.030709,0.003277,0.051738,14.627934,305,0.598064,0.850715,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4",255,255,255
403," ","1",999170.668224,112692.544584,139.643893,0.012804,0.012763,0.025683,0.031408,n/a,n/a,n/a,309,0.285602,0.285602,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1",255,255,255
410," ","1,4,5",999974.466927,112476.790506,139.678458,0.012209,0.012107,0.025463,0.030724,0.004874,0.076950,25.761913,311,1.014847,1.321707,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
422," ","1,3,4,5",1000126.770768,112179.105492,138.556955,0.011984,0.011869,0.025425,0.030511,0.014792,0.233552,25.744063,313,1.117482,1.695531,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4,5",255,255,255
428," ","1,4,5",999971.959458,112044.592915,139.514541,0.012289,0.012245,0.025450,0.030800,0.004282,0.067615,25.396202,314,0.666578,0.955253,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
492," ","2,3,4",999606.860338,112342.369457,139.163465,0.012276,0.012215,0.025331,0.030685,0.002135,0.033717,13.212028,413,0.676354,0.891983,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4",255,255,255
552," ","3,4,5",1000575.046472,112258.174428,139.628402,0.012293,0.012245,0.025471,0.030819,0.003114,0.049164,13.426526,508,0.457935,0.539549,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"3,4,5",255,255,255
563," ","2,3,5",1000166.790173,112674.251821,138.763828,0.012203,0.012093,0.025540,0.030781,0.000678,0.010700,15.447342,511,0.647236,0.862496,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
590," ","4,5",999980.950645,112051.086200,139.418315,0.012427,0.012383,0.025510,0.030960,0.005293,0.083568,12.826545,515,0.861182,1.096130,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"4,5",255,255,255
607," ","2,3,5",1000502.497692,112625.903369,139.652127,0.012161,0.012202,0.025418,0.030706,0.004686,0.073983,15.533603,5212,0.675155,0.832961,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
634," ","2,3",1000441.905606,112677.060478,139.747305,0.012358,0.012316,0.025478,0.030879,0.000118,0.001867,6.544829,609,0.330992,0.345824,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
651," ","2,3,4,5",1000359.445479,112429.751947,139.167744,0.011912,0.011860,0.025468,0.030515,0.001626,0.025675,15.669523,610,0.381232,0.467766,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
745," ","1,2,3,5",1000007.360569,112644.633210,160.130328,0.034533,0.037763,0.198528,0.205017,0.007763,0.122572,25.845815, ,0.633543,0.931053,5,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,5",255,255,255
